	Topic	TopicPassageCount	TopicVotesSum	MeanPassageVotes
8	a healthy marriage	99	7015	70.85858585858585
15	a tenth	49	3089	63.04081632653061
18	abandentment	8	767	95.875
20	abandonment	115	8742	76.01739130434783
22	abigail	32	2095	65.46875
25	abishag	8	606	75.75
26	abomination	646	383052	592.9597523219815
27	abortion	207	24594	118.81159420289855
29	abraham	343	62583	182.45772594752188
36	abstinence	32	2146	67.0625
37	abundance	186	23915	128.5752688172043
40	abuse	191	13935	72.95811518324608
50	accepting christ	214	23018	107.5607476635514
54	accidents	123	29736	241.7560975609756
56	accountability	113	9901	87.61946902654867
67	actions	199	60773	305.39195979899495
75	addiction	204	19895	97.52450980392157
77	adding to the bible	125	9731	77.848
84	adoption	138	30069	217.8913043478261
91	adultery	340	123711	363.8558823529412
92	adultery and divorce	135	7987	59.162962962962965
100	adversity	180	91083	506.01666666666665
101	advice	158	32432	205.26582278481013
112	after life	3	175	58.333333333333336
113	afterlife	125	24259	194.072
115	agape love	115	6438	55.982608695652175
126	aging	102	6092	59.72549019607843
137	alcohol	131	11596	88.51908396946565
146	aliens	135	11341	84.00740740740741
149	all things are possible	58	3456	59.58620689655172
164	an adultress	174	44986	258.5402298850575
177	anger	160	31607	197.54375
178	anger and forgiveness	50	3144	62.88
179	anger management	108	17116	158.4814814814815
184	animal cruelty	107	11262	105.25233644859813
186	animal rights	114	6573	57.6578947368421
189	animal testing	16	1007	62.9375
190	animals	247	36497	147.76113360323887
196	animals in heaven	105	7906	75.29523809523809
210	anointing with oil	188	14119	75.10106382978724
216	answered prayer	190	12967	68.24736842105263
223	anxiety	204	74491	365.1519607843137
224	anxiety and depression	141	21617	153.31205673758865
225	anxious	214	53438	249.71028037383178
230	apologizing	51	3178	62.31372549019608
252	arguing	426	162958	382.53051643192487
253	arguments	127	12894	101.5275590551181
255	arianism	190	23414	123.23157894736842
257	armageddon	135	17729	131.32592592592593
258	armor	140	14260	101.85714285714286
261	armor-bearer	52	15149	291.3269230769231
264	arrogance	121	6818	56.34710743801653
274	ask	269	25991	96.62081784386618
275	ask and you shall receive	125	9690	77.52
279	asking for forgiveness	194	68075	350.9020618556701
288	assumption	154	94420	613.1168831168832
289	assurance	240	83044	346.01666666666665
290	assurance of salvation	222	15256	68.72072072072072
296	astrology	107	15226	142.29906542056074
308	attitude	405	173269	427.82469135802467
318	autumn	50	3572	71.44
319	availability	89	8097	90.97752808988764
338	babylon	542	386763	713.5848708487085
340	backslider	34	2122	62.411764705882355
349	bad company	129	9262	71.7984496124031
354	bad friends	123	10015	81.42276422764228
360	bad leadership	149	16785	112.6510067114094
363	bad parents	150	8659	57.72666666666667
367	bad things that happen to good people	116	10440	90.0
373	balance in life	264	50967	193.0568181818182
380	baptism	221	32158	145.51131221719456
381	baptism and salvation	485	231935	478.21649484536084
383	baptism of the holy spirit	446	155650	348.99103139013454
391	barrenness	204	31112	152.50980392156862
397	bastard children	148	45237	305.6554054054054
401	battlefield of the mind	127	15162	119.38582677165354
405	be still	184	33909	184.28804347826087
413	bearing false witness	101	5942	58.83168316831683
419	beauty	206	69685	338.27669902912623
420	beauty of the earth	31	2478	79.93548387096774
424	becoming more like christ	402	145924	362.9950248756219
435	being a blessing to others	103	6142	59.63106796116505
447	being a good leader	123	12806	104.11382113821138
450	being a good steward	314	127182	405.03821656050957
452	being a good wife	265	36337	137.12075471698114
459	being a man	188	16088	85.57446808510639
468	being a servant	212	18125	85.49528301886792
481	being anxious	22	1482	67.36363636363636
489	being born again	264	262186	993.1287878787879
494	being careful	178	24852	139.61797752808988
495	being chosen	119	6826	57.36134453781513
515	being drunk	208	22236	106.90384615384616
525	being falsely accused	126	15118	119.98412698412699
535	being happy	193	37365	193.60103626943004
541	being humble	379	145046	382.7071240105541
554	being kind	140	14377	102.69285714285714
560	being like christ	131	9035	68.96946564885496
561	being like the world	119	8071	67.82352941176471
562	being lonely	290	68467	236.09310344827585
590	being positive	29	1783	61.48275862068966
595	being pure	487	141580	290.71868583162217
596	being quiet	227	36186	159.40969162995594
597	being ready	169	31040	183.66863905325442
598	being reliable	156	33717	216.1346153846154
599	being responsible	109	9198	84.38532110091744
602	being rude	187	66235	354.19786096256684
605	being scared	132	7890	59.77272727272727
607	being selfish	100	5949	59.49
608	being set apart	136	9222	67.80882352941177
611	being single	313	25575	81.70926517571885
613	being sober	401	186685	465.54862842892766
623	being taken advantage of	442	230685	521.9117647058823
625	being tested	137	9132	66.65693430656934
626	being thankful	168	19900	118.45238095238095
649	being yourself	105	8704	82.8952380952381
651	believe	158	9779	61.892405063291136
656	believing in yourself	20	1839	91.95
661	benevolence	311	46343	149.0128617363344
670	betrayal	98	6578	67.12244897959184
687	birds	179	10026	56.01117318435754
695	birthday	154	17714	115.02597402597402
701	bitterness	472	302092	640.0254237288135
704	black crows	1	66	66.0
724	blessings	318	19067	59.959119496855344
735	blood transfusion	111	8889	80.08108108108108
741	boasting	138	10773	78.06521739130434
745	body image	154	23661	153.64285714285714
752	body soul and spirit	135	7996	59.22962962962963
757	boldness	103	10883	105.66019417475728
782	bragging	99	5473	55.282828282828284
797	breaking bad habits	94	5702	60.659574468085104
798	breaking bread	439	231676	527.7357630979499
800	breaking curses	107	8686	81.17757009345794
806	breakthrough	114	34999	307.00877192982455
825	broken hearts	164	10142	61.84146341463415
826	broken promises	137	9900	72.26277372262774
836	brothers and sisters in christ	142	10026	70.6056338028169
858	bullying	189	23674	125.25925925925925
860	burden	298	115356	387.1006711409396
864	burning incense	386	91099	236.00777202072538
866	business	454	238748	525.8766519823788
867	business ethics	145	9683	66.77931034482759
878	buying and selling	114	9653	84.67543859649123
880	buying land	102	7928	77.72549019607843
882	caesar	27	1608	59.55555555555556
886	caleb	46	2936	63.82608695652174
891	calling names	33	2046	62.0
892	calling people fools	37	2079	56.189189189189186
894	calling someone an idiot	36	2410	66.94444444444444
895	calling someone names	46	2539	55.19565217391305
900	can a pastor divorce and remarry	26	1716	66.0
903	cancer	197	62079	315.1218274111675
909	capital punishment	145	9954	68.64827586206897
923	caring for aging parents	22	1223	55.59090909090909
925	caring for elderly parents	134	13689	102.15671641791045
926	caring for others	199	15218	76.47236180904522
938	cast the first stone	9	499	55.44444444444444
941	casting lots	166	41480	249.87951807228916
942	casting out demons	205	15797	77.05853658536586
956	celebrating halloween	104	6541	62.89423076923077
959	celebrating pagan holidays	193	13544	70.1761658031088
969	chains	143	12388	86.62937062937063
971	challenges	257	149934	583.4007782101168
973	change	164	16142	98.42682926829268
976	changing	1	112	112.0
983	character	298	65480	219.73154362416108
985	character of god	251	16755	66.75298804780877
986	charging interest	171	67693	395.8654970760234
988	charity	157	10619	67.63694267515923
994	cheating	183	24745	135.21857923497268
1010	child labor	269	54037	200.8810408921933
1012	child of god	298	42914	144.00671140939596
1014	child sacrifice	230	117140	509.30434782608694
1020	children	430	174203	405.1232558139535
1028	children being a blessing	167	21705	129.97005988023952
1031	children going to heaven	193	23851	123.58031088082902
1037	children obeying their parents	84	5688	67.71428571428571
1056	choosing a career	100	6610	66.1
1057	choosing a mate	45	2999	66.64444444444445
1058	choosing friends	272	137787	506.56985294117646
1065	christening	254	48814	192.1811023622047
1071	christian character	431	137900	319.953596287703
1074	christian education	255	65919	258.50588235294117
1103	church	260	19281	74.1576923076923
1106	church anniversary	179	13004	72.64804469273743
1108	church building	123	6965	56.6260162601626
1111	church discipline	266	179816	676.0
1112	church fellowship	118	18653	158.07627118644066
1114	church government	120	10592	88.26666666666667
1117	church leadership	461	371673	806.232104121475
1134	circumcision	123	7625	61.99186991869919
1154	clean house	100	6172	61.72
1173	clothing	210	37736	179.6952380952381
1174	clouds	312	49784	159.56410256410257
1189	come as you are	475	110557	232.75157894736842
1191	come to jesus	333	41103	123.43243243243244
1192	comfort	105	6403	60.98095238095238
1193	comfort the dying	146	11269	77.18493150684931
1198	commandments	350	98610	281.74285714285713
1201	commitment	139	18558	133.5107913669065
1214	communicating with the dead	265	140201	529.0603773584905
1215	communication	135	9247	68.4962962962963
1218	communion	103	8873	86.14563106796116
1219	community	178	12110	68.03370786516854
1220	community service	263	109512	416.3954372623574
1223	comparing ourselves to others	57	4477	78.54385964912281
1224	compassion	122	7188	58.91803278688525
1228	competition	147	34282	233.2108843537415
1229	complaining	387	274126	708.3359173126615
1241	condemnation	134	7486	55.865671641791046
1250	confession of sin	134	8462	63.149253731343286
1258	conflict resolution	101	5587	55.31683168316832
1262	confronting others	207	13203	63.78260869565217
1263	confronting sins	173	9552	55.213872832369944
1265	confusion	111	10636	95.81981981981981
1270	conscience	265	129864	490.05283018867925
1283	contentment	133	8497	63.88721804511278
1292	controlling our emotions	101	7477	74.02970297029702
1294	controlling people	211	34671	164.3175355450237
1311	corporate prayer	209	42113	201.4976076555024
1312	correcting a brother	389	187570	482.1850899742931
1316	cosigning a loan	138	101769	737.4565217391304
1331	courage	224	113668	507.44642857142856
1338	covenant	326	297725	913.2668711656441
1345	coveting	213	23626	110.92018779342723
1346	covetousness	249	114301	459.0401606425703
1348	cowards	155	32279	208.2516129032258
1352	creation	230	81930	356.2173913043478
1357	creativity	303	155895	514.5049504950495
1367	criticism	644	357712	555.4534161490683
1370	crocodile	116	32227	277.8189655172414
1372	cross	132	10028	75.96969696969697
1398	cursing your parents	102	8577	84.08823529411765
1400	cussing	58	3215	55.43103448275862
1411	dad	46	2627	57.108695652173914
1412	dad son	30	1982	66.06666666666666
1421	dance	103	8407	81.62135922330097
1424	dancing at a wedding	18	1434	79.66666666666667
1425	dancing in church	31	2819	90.93548387096774
1427	dancing in the church	26	1777	68.34615384615384
1431	darkness	150	12180	81.2
1433	dating	323	149372	462.4520123839009
1439	dating and relationships	212	28658	135.17924528301887
1461	dead beat dads	12	684	57.0
1467	dealing with evil people	198	23911	120.76262626262626
1470	dealing with pain	114	14554	127.66666666666667
1471	death	189	15597	82.52380952380952
1473	death and dying	187	14179	75.82352941176471
1475	death of a child	183	59525	325.27322404371586
1498	decision making	221	63190	285.92760180995475
1512	degrees of sin	229	27879	121.74235807860262
1516	deliverance	130	12093	93.02307692307693
1523	demon possession	148	29239	197.5608108108108
1527	demons	327	75037	229.4709480122324
1529	denominations	218	118872	545.2844036697247
1537	depression	171	29620	173.21637426900585
1546	desires of your heart	150	14615	97.43333333333334
1547	despair	98	6101	62.255102040816325
1550	destiny	199	28734	144.39195979899498
1559	devil	137	8621	62.92700729927007
1574	difficult times	153	11191	73.14379084967321
1578	diligence	127	10116	79.65354330708661
1582	direction	108	7846	72.64814814814815
1587	disabled people	279	144685	518.584229390681
1596	discernment	279	52262	187.3189964157706
1599	discipleship	167	37521	224.67664670658684
1600	discipline	257	21140	82.2568093385214
1602	discipline of children	103	12034	116.83495145631068
1609	discouragement	76	5028	66.15789473684211
1611	discrimination	130	7230	55.61538461538461
1613	diseases	148	9426	63.689189189189186
1622	disobedient children	216	88582	410.10185185185185
1633	disrespectful children	131	11252	85.89312977099236
1635	disrespectful wife	65	4220	64.92307692307692
1639	distractions	129	7444	57.70542635658915
1653	divorce	249	22834	91.70281124497993
1685	doing good deeds	234	59234	253.13675213675214
1686	doing the right thing	99	7402	74.76767676767676
1687	doing what is right	104	6531	62.79807692307692
1689	doing your best	170	12065	70.97058823529412
1693	domestic violence and abuse	206	30404	147.59223300970874
1697	dont give up	182	18051	99.18131868131869
1705	doors	52	2956	56.84615384615385
1708	doubt	149	26542	178.13422818791946
1718	dragon	296	120386	406.7094594594595
1719	dragons	166	52182	314.34939759036143
1723	dreadlocks	20	1191	59.55
1729	dreams	327	89639	274.12538226299694
1730	dreams and visions	517	393614	761.3423597678917
1740	drinking alcohol	223	24220	108.60986547085201
1748	drinking wine	246	102599	417.0691056910569
1753	drug addiction	100	5846	58.46
1754	drug use	105	7930	75.52380952380952
1772	dying to self	353	68858	195.06515580736544
1774	eagle	101	5910	58.51485148514851
1776	eagles wings	26	1911	73.5
1777	ear piercing	22	1371	62.31818181818182
1782	earning money	264	82590	312.84090909090907
1783	earrings	31	1753	56.54838709677419
1785	earth	827	669897	810.0326481257557
1787	earthly possessions	161	10816	67.18012422360249
1789	earthquake	28	2042	72.92857142857143
1790	earthquakes	82	6525	79.57317073170732
1799	eating animal blood	208	41650	200.2403846153846
1805	eating disorders	200	81278	406.39
1806	eating fish	114	10785	94.60526315789474
1809	eating meat	363	46538	128.20385674931129
1810	eating pig	245	55643	227.11428571428573
1812	eating pork	410	464953	1134.0317073170731
1816	eating shrimp	116	11191	96.47413793103448
1818	eating the right foods	306	48142	157.32679738562092
1831	education	347	139872	403.0893371757925
1834	effeminate	124	22759	183.54032258064515
1835	effort	234	33960	145.12820512820514
1841	elder abuse	6	404	67.33333333333333
1847	election	146	8583	58.78767123287671
1868	emotional healing	139	13064	93.98561151079137
1870	emotions	126	9051	71.83333333333333
1871	empathy	135	9821	72.74814814814815
1872	employees	328	162292	494.7926829268293
1882	encouragement	319	168896	529.4545454545455
1886	encouraging each other	161	12032	74.73291925465838
1891	end of days	116	7848	67.65517241379311
1892	end of the world	173	16567	95.76300578034682
1895	end-time people	262	131398	501.51908396946567
1898	endurance	114	8751	76.76315789473684
1901	enemies	113	9706	85.89380530973452
1913	entering the kingdom of god	620	321174	518.0225806451613
1916	entitlement	129	47382	367.30232558139534
1921	envy and jealousy	157	23482	149.56687898089172
1925	epilepsy	14	892	63.714285714285715
1928	equality	329	19382	58.911854103343465
1942	eucharist	157	26669	169.86624203821657
1945	europe	13	1549	119.15384615384616
1946	euthanasia	155	13604	87.76774193548387
1947	evangelism	212	95294	449.5
1952	every good and perfect gift	239	50981	213.30962343096235
1955	everyone is equal	126	16371	129.92857142857142
1958	everything will be ok	100	7975	79.75
1961	evil and wicked people	163	10694	65.60736196319019
1966	evil spirits	182	14859	81.64285714285714
1967	evil thoughts	111	6782	61.0990990990991
1979	excellence	100	5916	59.16
1982	excommunication	117	8496	72.61538461538461
1993	expectations	185	88984	480.9945945945946
1997	exposing false teachers	249	16381	65.78714859437751
2003	eye for an eye	124	9834	79.30645161290323
2004	eyes	118	7197	60.99152542372882
2007	ezekiel	66	12352	187.15151515151516
2011	facial hair	24	1720	71.66666666666667
2012	failure	221	79323	358.92760180995475
2019	faith	391	74002	189.26342710997443
2023	faith healing	707	414710	586.5770862800566
2024	faith in god	497	296127	595.8289738430584
2028	faith without deeds	32	2086	65.1875
2030	faithful	43	2869	66.72093023255815
2031	faithfulness	113	6454	57.11504424778761
2032	faithlessness	147	10328	70.25850340136054
2034	fake christians	138	8627	62.51449275362319
2039	falling away	221	55572	251.45701357466064
2045	false accusations	92	5587	60.72826086956522
2048	false christians	144	7939	55.13194444444444
2051	false gods	269	55327	205.67657992565057
2056	false prophets	436	62512	143.37614678899084
2061	false teachings	536	123629	230.65111940298507
2067	families fighting	202	83855	415.1237623762376
2068	family	275	20822	75.71636363636364
2069	family and friends	136	10202	75.01470588235294
2071	family conflict	199	49952	251.01507537688443
2077	family love 	78	12064	154.66666666666666
2084	family unity	154	9505	61.72077922077922
2088	farewell	176	76642	435.46590909090907
2091	fasting	247	131022	530.4534412955466
2092	fasting and prayer	130	14042	108.01538461538462
2102	fathers	167	11491	68.80838323353294
2104	fathers and daughters	169	38056	225.18343195266272
2106	fathers day	225	78854	350.46222222222224
2110	favor	203	16549	81.52216748768473
2112	fear	254	32752	128.9448818897638
2113	fear and anxiety	185	52654	284.61621621621623
2114	fear not	275	26308	95.66545454545455
2115	fear of the lord	296	47706	161.1689189189189
2121	feeding the hungry	182	25622	140.78021978021977
2122	feeding the poor	130	9252	71.16923076923077
2125	feeling guilty	20	1234	61.7
2128	feeling sad	100	10118	101.18
2129	feeling worthless	54	4802	88.92592592592592
2132	fellowship	313	124018	396.22364217252397
2143	fidelity	260	57396	220.75384615384615
2147	fighting back	495	175114	353.76565656565657
2154	finances	486	369377	760.0349794238683
2160	financial problems	100	5699	56.99
2162	financial success	97	5569	57.41237113402062
2165	finding a husband	202	11338	56.12871287128713
2166	finding a job	105	10117	96.35238095238095
2169	finding a wife	157	9057	57.68789808917197
2176	finding your mate	100	11475	114.75
2184	fire	186	13911	74.79032258064517
2190	first fruits	199	17930	90.10050251256281
2199	fishing	134	17235	128.61940298507463
2206	flirting	109	20489	187.9724770642202
2221	following jesus	113	6350	56.19469026548673
2227	food	268	22718	84.76865671641791
2230	fool	127	13361	105.20472440944881
2243	foreigners	344	105374	306.31976744186045
2247	forgetting the past	135	12343	91.42962962962963
2249	forgiven those who hurt you	48	3023	62.979166666666664
2250	forgiveness	277	70245	253.59205776173286
2254	forgiveness of adultery	102	6186	60.64705882352941
2256	forgiveness of sins	443	360196	813.0835214446953
2260	forgiving each other	75	8123	108.30666666666667
2263	forgiving one another	106	8565	80.80188679245283
2264	forgiving others	198	53403	269.7121212121212
2269	forgiving your enemies	117	6483	55.41025641025641
2270	forgiving yourself	85	5054	59.45882352941177
2271	fornication	195	18656	95.67179487179487
2272	fornicators	219	37913	173.11872146118722
2277	fortune	171	25027	146.35672514619884
2278	fortune tellers	211	117201	555.4549763033175
2279	fortune tellers and psychics	114	14809	129.90350877192984
2282	foul language	118	8129	68.88983050847457
2283	foundation	168	48560	289.04761904761904
2291	free will	333	67611	203.03603603603602
2292	freedom	216	99240	459.44444444444446
2293	freedom in christ	140	10581	75.57857142857142
2299	friends	63	3658	58.06349206349206
2303	friendship	186	32259	173.43548387096774
2309	fruit	305	83824	274.8327868852459
2315	frustration	264	124837	472.86742424242425
2322	gabriel	26	1782	68.53846153846153
2325	gaining weight	30	1796	59.86666666666667
2326	gambling	117	11333	96.86324786324786
2327	gambling addictions	37	2466	66.64864864864865
2334	gardens	29	1716	59.172413793103445
2341	gathering together	199	46564	233.98994974874373
2342	gay	62	3773	60.854838709677416
2343	gay marriage	102	10737	105.26470588235294
2344	gay marriages	37	2178	58.86486486486486
2351	gender roles	202	12252	60.65346534653465
2356	generation to generation	279	126121	452.04659498207883
2357	generational curses	120	7670	63.916666666666664
2359	generosity	143	9294	64.99300699300699
2362	genetic engineering	48	3777	78.6875
2367	gentleness	112	7585	67.72321428571429
2379	getting into heaven	157	12018	76.54777070063695
2401	gifts from god	210	18453	87.87142857142857
2406	girlfriend and boyfriend	148	9201	62.16891891891892
2414	giving	171	15697	91.7953216374269
2415	giving 10 percent	230	22992	99.96521739130435
